Frecuencias de nombres
Nombres por nacionalidad
País: ESPAÑOLES


Nº,Nombre,Total,Por mil ‰
3021,AINE,193,0,009
3022,ANNIE,193,0,009
3023,BLANCA CECILIA,193,0,009
3024,KATIXA,193,0,009
3025,LEOPOLDINA,193,0,009
3026,NADINA,193,0,009
3027,PATRICIA ELIZABETH,193,0,009
3028,ROSA CRISTINA,193,0,009
3029,SERAPIA,193,0,009
3030,SONIA PATRICIA,193,0,009
3031,SORKUNDE,193,0,009
3032,TAYRI,193,0,009
3033,BLANCA AURORA,192,0,009
3034,JORDANA,192,0,009
3035,KAUTAR,192,0,009
3036,PIEDAD MARIA,192,0,009
3037,SOFIA VICTORIA,192,0,009
3038,VIOLETA MARIA,192,0,009
3039,ANA CONSUELO,191,0,009
3040,DORITA,191,0,009
3041,EDEN,191,0,009
3042,KAUZAR,191,0,009
3043,LIANA,191,0,009
3044,MARIA AUGUSTA,191,0,009
3045,MARIA BIBIANA,191,0,009
3046,MARIA ESPINO,191,0,009
3047,MARIA IMELDA,191,0,009
3048,MARIA JUDIT,191,0,009
3049,MARIA REPOSO,191,0,009
3050,MARIA SEBASTIANA,191,0,009
3051,MARTA CECILIA,191,0,009
3052,ROSA LAURA,191,0,009
3053,SILVIA ELENA,191,0,009
3054,YAZMIN,191,0,009
3055,ALLISON,190,0,009
3056,ANGELA PILAR,190,0,009
3057,ELAINE,190,0,009
3058,FADWA,190,0,009
3059,FIRDAOUS,190,0,009
3060,MAIRENA,190,0,009
3061,MANUELA JOSEFA,190,0,009
3062,MARIA ROSAURA,190,0,009
3063,PAQUI,190,0,009
3064,YOUSSRA,190,0,009
3065,AIZPEA,189,0,009
3066,ELINA,189,0,009
3067,ESCARLATA,189,0,009
3068,HAIZENE,189,0,009
3069,HASNAE,189,0,009
3070,JULIA TERESA,189,0,009
3071,LUCIA VICTORIA,189,0,009
3072,MARIA AMAIA,189,0,009
3073,MARIA LUCIANA,189,0,009
3074,MARIA NORMA,189,0,009
3075,MILAGROS MARIA,189,0,009
3076,PILAR ANGELES,189,0,009
3077,ROSANGELA,189,0,009
3078,SOFIA VALENTINA,189,0,009
3079,ANA NIEVES,188,0,009
3080,ANGELA ROSA,188,0,009
3081,ARANE,188,0,009
3082,ISABEL EUGENIA,188,0,009
3083,LAURA ROSA,188,0,009
3084,NOARA,188,0,009
3085,RAJAE,188,0,009
3086,SUMAYA,188,0,009
3087,TIMOTEA,188,0,009
3088,ANA ALEJANDRA,187,0,009
3089,DESSIRE,187,0,009
3090,GISELA MARIA,187,0,009
3091,IREA,187,0,009
3092,ISABEL JOSEFA,187,0,009
3093,JOSEFA VICENTA,187,0,009
3094,NOHAILA,187,0,009
3095,ROSABEL,187,0,009
3096,AILEEN,186,0,009
3097,ANTONIETA,186,0,009
3098,ARACELY,186,0,009
3099,FIRDAUS,186,0,009
3100,GALIA,186,0,009
3101,ISABEL FRANCISCA,186,0,009
3102,LUZ ANGELICA,186,0,009
3103,MAYRA ALEXANDRA,186,0,009
3104,NIOBE,186,0,009
3105,PAULA PILAR,186,0,009
3106,ROCIO ALBA,186,0,009
3107,ANDREA ALEJANDRA,185,0,009
3108,ANDREA VICTORIA,185,0,009
3109,CARLA ISABEL,185,0,009
3110,CARMEN SUSANA,185,0,009
3111,ESPERANZA ROCIO,185,0,009
3112,ESTRELLA CARMEN,185,0,009
3113,GAUDENCIA,185,0,009
3114,GEMA CARMEN,185,0,009
3115,JOSEFA INES,185,0,009
3116,LOLI,185,0,009
3117,MANUELA DOLORES,185,0,009
3118,MARIA BLASA,185,0,009
3119,MARIA COROMOTO,185,0,009
3120,MARIA EDUVIGIS,185,0,009
3121,MARIA IRIS,185,0,009
3122,MARIA VALERIA,185,0,009
3123,MAYELIN,185,0,009
3124,MIRNA,185,0,009
3125,MONICA ROCIO,185,0,009
3126,ROSITA,185,0,009
3127,SANDRA LORENA,185,0,009
3128,SILVIA ESTHER,185,0,009
3129,AGUASANTA,184,0,009
3130,ANA CLAUDIA,184,0,009
3131,ANA JUANA,184,0,009
3132,ANA MARIA ISABEL,184,0,009
3133,ANDREA CRISTINA,184,0,009
3134,LOURDES CARMEN,184,0,009
3135,MARIA APARECIDA,184,0,009
3136,MINIA,184,0,009
3137,CLARA ROSA,183,0,009
3138,GOIURI,183,0,009
3139,MARIA ROGELIA,183,0,009
3140,MARTA ROCIO,183,0,009
3141,SONIA BEATRIZ,183,0,009
3142,ALVARINA,182,0,008
3143,CARMEN EMILIA,182,0,008
3144,CRISTEL,182,0,008
3145,DONATILA,182,0,008
3146,EKHIÑE,182,0,008
3147,HERMESINDA,182,0,008
3148,JULE,182,0,008
3149,LUZ CARMEN,182,0,008
3150,MARIA GISELA,182,0,008
3151,MARIA JERONIMA,182,0,008
3152,MARIA LINAREJOS,182,0,008
3153,MARIA LLUCH,182,0,008
3154,YASHIRA,182,0,008
3155,YUDITH,182,0,008
3156,ADONINA,181,0,008
3157,ANGELA ROCIO,181,0,008
3158,BRIANDA,181,0,008
3159,DEBORA MARIA,181,0,008
3160,EROLA,181,0,008
3161,GRIMANESA,181,0,008
3162,JENNY ELIZABETH,181,0,008
3163,MARIA ISIDRA,181,0,008
3164,RITAJ,181,0,008
3165,SARA CRISTINA,181,0,008
3166,ACACIA,180,0,008
3167,ARMANDA,180,0,008
3168,CONCEPCION PILAR,180,0,008
3169,CRISTALINA,180,0,008
3170,ELENA PATRICIA,180,0,008
3171,LIDIA CARMEN,180,0,008
3172,LORENA ISABEL,180,0,008
3173,NATIVIDAD MARIA,180,0,008
3174,VERENA,180,0,008
3175,VERONICA ELIZABETH,180,0,008
3176,ARAI,179,0,008
3177,ARGELINA,179,0,008
3178,BRENDA MARIA,179,0,008
3179,ESTIVALIZ,179,0,008
3180,GEMA PILAR,179,0,008
3181,IXEYA,179,0,008
3182,LUDMILA,179,0,008
3183,MARIA LILIA,179,0,008
3184,MARIA NICOLASA,179,0,008
3185,MARTA PATRICIA,179,0,008
3186,NIHAL,179,0,008
3187,NURI,179,0,008
3188,RUTH ESTHER,179,0,008
3189,VAITIARE,179,0,008
3190,YUDIT,179,0,008
3191,AILA,178,0,008
3192,CARMEN LORENA,178,0,008
3193,EMETERIA,178,0,008
3194,MARIA ARA,178,0,008
3195,MARIA REINA,178,0,008
3196,RHIMOU,178,0,008
3197,SARA PATRICIA,178,0,008
3198,ALEXANDRA ELIZABETH,177,0,008
3199,ANA MAGDALENA,177,0,008
3200,ARIEL,177,0,008
3201,CARMEN GEMA,177,0,008
3202,CLARA LUZ,177,0,008
3203,DIGNA MARIA,177,0,008
3204,JAZMINA,177,0,008
3205,MARIA MELANIA,177,0,008
3206,MAY,177,0,008
3207,NAJIA,177,0,008
3208,STELA,177,0,008
3209,TERESA DOLORES,177,0,008
3210,CARMEN JOSE,176,0,008
3211,DOLORES ANGELES,176,0,008
3212,ESTEBANA,176,0,008
3213,IBALLA,176,0,008
3214,KATERINE,176,0,008
3215,MAI,176,0,008
3216,ROCIO CINTA,176,0,008
3217,SHAYLA,176,0,008
3218,ALISSON,175,0,008
3219,AMANE,175,0,008
3220,ANJARA,175,0,008
3221,BADIA,175,0,008
3222,BERNABEA,175,0,008
3223,CARMEN AURORA,175,0,008
3224,ELEONORA,175,0,008
3225,GIOVANA,175,0,008
3226,IDA,175,0,008
3227,JIMENA MARIA,175,0,008
3228,JOCELYN,175,0,008
3229,MARIA ANITA,175,0,008
3230,MARIA EULOGIA,175,0,008
3231,MARIA PEREGRINA,175,0,008
3232,MARIA VICTORINA,175,0,008
3233,MARIANNE,175,0,008
3234,ROSA LIMA,175,0,008
3235,SCHEREZADE,175,0,008
3236,SIENNA,175,0,008
3237,TECLA,175,0,008
3238,TERESA ANGELES,175,0,008
3239,YAQUELIN,175,0,008
3240,CARMEN VANESA,174,0,008
3241,DOLORES JOSEFA,174,0,008
3242,JOSEFA ROCIO,174,0,008
3243,JUANA JESUS,174,0,008
3244,JUANA VICTORIA,174,0,008
3245,JULIA ELENA,174,0,008
3246,MARIA ANGELITA,174,0,008
3247,MARIA CASTAÑAR,174,0,008
3248,MARIA JULIETA,174,0,008
3249,MARIA SERAFINA,174,0,008
3250,MONICA ALEJANDRA,174,0,008
3251,NILA,174,0,008
3252,RAMONA MARIA,174,0,008
3253,XANTAL,174,0,008
3254,EVA MARINA,173,0,008
3255,GRACIANA,173,0,008
3256,HERMINIA MARIA,173,0,008
3257,JESSICA ALEXANDRA,173,0,008
3258,JESUS MARIA,173,0,008
3259,MANUELA JESUS,173,0,008
3260,MIREN IRUNE,173,0,008
3261,PAULA SOFIA,173,0,008
3262,SEHILA,173,0,008
3263,VERONICA ISABEL,173,0,008
3264,VITORIA,173,0,008
3265,YOSELIN,173,0,008
3266,ADA MARIA,172,0,008
3267,CRISTINA TERESA,172,0,008
3268,ELIECER,172,0,008
3269,KENDRA,172,0,008
3270,MARIA SILVINA,172,0,008
3271,MARIA VIÑAS,172,0,008
3272,NOUHAILA,172,0,008
3273,RKIA,172,0,008
3274,SARA BEATRIZ,172,0,008
3275,SONIA BELEN,172,0,008
3276,ADAYA,171,0,008
3277,ARTEMIA,171,0,008
3278,AUBA,171,0,008
3279,CANDELARIA MARIA,171,0,008
3280,CARMEN EUGENIA,171,0,008
3281,CARMEN IRENE,171,0,008
3282,CYNTHIA MARIA,171,0,008
3283,ELBA MARIA,171,0,008
3284,ELISA CARMEN,171,0,008
3285,EMILIA ISABEL,171,0,008
3286,ERICA MARIA,171,0,008
3287,ERKUDEN,171,0,008
3288,IOANA,171,0,008
3289,IUNE,171,0,008
3290,JIHAN,171,0,008
3291,JUANA BELEN,171,0,008
3292,JULIET,171,0,008
3293,LIZETH,171,0,008
3294,LUISA PILAR,171,0,008
3295,MARIA FELICIA,171,0,008
3296,MARIA NARCISA,171,0,008
3297,MARIA ROBLEDO,171,0,008
3298,MARTINA MARIA,171,0,008
3299,MONTSERRAT MARIA,171,0,008
3300,OUAFAE,171,0,008
3301,PASTORA MARIA,171,0,008
3302,SHANDRA,171,0,008
3303,SOFIA ALEJANDRA,171,0,008
3304,XELA,171,0,008
3305,AMAYA MARIA,170,0,008
3306,ANA FE,170,0,008
3307,ANA LEONOR,170,0,008
3308,ANEU,170,0,008
3309,ANGELES PILAR,170,0,008
3310,CARMEN NURIA,170,0,008
3311,MARIA CONSOL,170,0,008
3312,PATRICIA ALEXANDRA,170,0,008
3313,PINO MARIA,170,0,008
3314,SOFIA PILAR,170,0,008
3315,BRISEIDA,169,0,008
3316,CARMEN SOFIA,169,0,008
3317,DEISY,169,0,008
3318,FRANCISCA JOSE,169,0,008
3319,MARIA OLAYA,169,0,008
3320,MERCEDES ISABEL,169,0,008
3321,MIREN JOSEBE,169,0,008
3322,OLYMPIA,169,0,008
3323,YSABEL,169,0,008
3324,CLAUDIA BEATRIZ,168,0,008
3325,ERHIMO,168,0,008
3326,ERLINDA,168,0,008
3327,LETICIA CARMEN,168,0,008
3328,MARIA GUACIMARA,168,0,008
3329,MARIA NAZARETH,168,0,008
3330,RANDA,168,0,008
3331,RENEE,168,0,008
3332,ROSARIO ANGELES,168,0,008
3333,SARA BELEN,168,0,008
3334,SOTERA,168,0,008
3335,SUSAGNA,168,0,008
3336,ZULMA,168,0,008
3337,ANA MONTSERRAT,167,0,008
3338,ANUSKA,167,0,008
3339,CARMEN ESPERANZA,167,0,008
3340,CLARA ELENA,167,0,008
3341,FIDELIA,167,0,008
3342,FRANCISCA ROSARIO,167,0,008
3343,GLORIA MERCEDES,167,0,008
3344,IHINTZA,167,0,008
3345,LAURA VANESSA,167,0,008
3346,MARIA JOVITA,167,0,008
3347,MIREN BAKARNE,167,0,008
3348,NEZHA,167,0,008
3349,ROSA BEATRIZ,167,0,008
3350,ADORACION REYES,166,0,008
3351,AISA,166,0,008
3352,ANA FELISA,166,0,008
3353,ANA LETICIA,166,0,008
3354,ANGELA CRISTINA,166,0,008
3355,ARWEN,166,0,008
3356,BARTOLINA,166,0,008
3357,BELKIS,166,0,008
3358,ELVIA,166,0,008
3359,FRANCISCA ROCIO,166,0,008
3360,JESSICA PAOLA,166,0,008
3361,MARIA YSABEL,166,0,008
3362,MONTIEL,166,0,008
3363,NASSIRA,166,0,008
3364,NINFA,166,0,008
3365,YANELY,166,0,008
3366,ANTONIA ANA,165,0,008
3367,AUDELINA,165,0,008
3368,DOLORES CONCEPCION,165,0,008
3369,FAIZA,165,0,008
3370,GENTZANE,165,0,008
3371,JULIA VICTORIA,165,0,008
3372,LAMIAE,165,0,008
3373,MARJORIE,165,0,008
3374,MYA,165,0,008
3375,NURIA BELEN,165,0,008
3376,ROSA MATILDE,165,0,008
3377,AFRA,164,0,008
3378,AMPARO PILAR,164,0,008
3379,CELIA CARMEN,164,0,008
3380,DAENERYS,164,0,008
3381,EVA DOLORES,164,0,008
3382,HODA,164,0,008
3383,INMACULADA ROCIO,164,0,008
3384,LEYRE MARIA,164,0,008
3385,LUCIA BELEN,164,0,008
3386,MAIRA ALEJANDRA,164,0,008
3387,MARIA ALCIRA,164,0,008
3388,MARIA NOEL,164,0,008
3389,MARTA VICTORIA,164,0,008
3390,MIREN BEGOÑE,164,0,008
3391,MIREN SORKUNDE,164,0,008
3392,NURA,164,0,008
3393,ROCIO ANGELES,164,0,008
3394,WIDAD,164,0,008
3395,ZOUBIDA,164,0,008
3396,ADRIANA CARMEN,163,0,008
3397,ADRIANA ISABEL,163,0,008
3398,AURORA PILAR,163,0,008
3399,CANDIDA ROSA,163,0,008
3400,CECILIA CARMEN,163,0,008
3401,ESTRELLA MAR,163,0,008
3402,EUSTASIA,163,0,008
3403,ISABEL LUCIA,163,0,008
3404,MARIA DOSINDA,163,0,008
3405,MARIA DUNIA,163,0,008
3406,MARIA ERICA,163,0,008
3407,MARIA MARLENE,163,0,008
3408,MARIA SALADINA,163,0,008
3409,MERCHE,163,0,008
3410,MONICA RAQUEL,163,0,008
3411,BAHIJA,162,0,008
3412,CARMEN ELVIRA,162,0,008
3413,CLAIRE,162,0,008
3414,CLAUDIA LILIANA,162,0,008
3415,FREYA,162,0,008
3416,LEIDY JOHANNA,162,0,008
3417,MARCELA ALEJANDRA,162,0,008
3418,MARIA APOLONIA,162,0,008
3419,MARIA LYDIA,162,0,008
3420,MARIA VINYET,162,0,008
3421,PRISCILLA,162,0,008
3422,ROSA INMACULADA,162,0,008
3423,YESSICA MARIA,162,0,008
3424,ANA ENCARNACION,161,0,007
3425,ANDREA ELIZABETH,161,0,007
3426,ARELIS,161,0,007
3427,AURELIA MARIA,161,0,007
3428,AYSHA,161,0,007
3429,CARMEN AMPARO,161,0,007
3430,GEMA ROCIO,161,0,007
3431,IDALIA,161,0,007
3432,JENNIFFER,161,0,007
3433,JOHANNA ELIZABETH,161,0,007
3434,LAYA,161,0,007
3435,MARIA CLAUSTRE,161,0,007
3436,MARIA EDURNE,161,0,007
3437,MARIA PLACERES,161,0,007
3438,MARTA ESTHER,161,0,007
3439,MAXIMIANA,161,0,007
3440,PURIFICACION MARIA,161,0,007
3441,RADIA,161,0,007
3442,SAKINA,161,0,007
3443,SCARLETT,161,0,007
3444,VALVANUZ,161,0,007
3445,YUNE,161,0,007
3446,ALBA LUZ,160,0,007
3447,JUANA ROSARIO,160,0,007
3448,LEONIDA,160,0,007
3449,MAGDALENA MARIA,160,0,007
3450,MARIA CINTIA,160,0,007
3451,MARIA PRECIOSA,160,0,007
3452,MARTHA PATRICIA,160,0,007
3453,NADIN,160,0,007
3454,ODILE,160,0,007
3455,SONIA CRISTINA,160,0,007
3456,STEPHANY,160,0,007
3457,WAFA,160,0,007
3458,XEILA,160,0,007
3459,YAISA,160,0,007
3460,ANGELA VICTORIA,159,0,007
3461,BRISA,159,0,007
3462,DANIELLE,159,0,007
3463,ELENA ROCIO,159,0,007
3464,FRANCISCA VICTORIA,159,0,007
3465,JANIS,159,0,007
3466,JOSEFA JESUS,159,0,007
3467,LAURA ANDREA,159,0,007
3468,LEIRE MARIA,159,0,007
3469,LIDIA ROSA,159,0,007
3470,LUZMILA,159,0,007
3471,MARIA CAYETANA,159,0,007
3472,MARIA GINESA,159,0,007
3473,MEL,159,0,007
3474,MIKELE,159,0,007
3475,PEDRONA,159,0,007
3476,REGLA MARIA,159,0,007
3477,SOFIA ELENA,159,0,007
3478,ANABELA,158,0,007
3479,BLASINA,158,0,007
3480,CARMEN SONIA,158,0,007
3481,FADILA,158,0,007
3482,IRAITZ,158,0,007
3483,JERUSALEN,158,0,007
3484,JUANA MERCEDES,158,0,007
3485,LUCIA ANGELES,158,0,007
3486,MARIA CISNE,158,0,007
3487,MARIA ILDA,158,0,007
3488,MARIA LEYRE,158,0,007
3489,MARIA MONTIEL,158,0,007
3490,MARIA SIRA,158,0,007
3491,MONICA ANDREA,158,0,007
3492,SILVIA TERESA,158,0,007
3493,ALEKSANDRA,157,0,007
3494,CARLA ANDREA,157,0,007
3495,CARMELITA,157,0,007
3496,CARMEN ENCARNACION,157,0,007
3497,CARMENZA,157,0,007
3498,CRISTAL,157,0,007
3499,DIANDRA,157,0,007
3500,HONORATA,157,0,007
3501,IERA,157,0,007
3502,MARIA ALBERTA,157,0,007
3503,MARIA ANASTASIA,157,0,007
3504,MARIA CANTO,157,0,007
3505,MARIA SEGUNDA,157,0,007
3506,MARIA VENTURA,157,0,007
3507,PAULA LUCIA,157,0,007
3508,ROSA MARTA,157,0,007
3509,RUTH ELIZABETH,157,0,007
3510,SUCESO,157,0,007
3511,CARLA PATRICIA,156,0,007
3512,DIANA CRISTINA,156,0,007
3513,ELISABEHT,156,0,007
3514,ELISABETH MARIA,156,0,007
3515,EXPEDITA,156,0,007
3516,GOIATZ,156,0,007
3517,KAROLINA,156,0,007
3518,MAIMOUNA,156,0,007
3519,FIRDAWS,155,0,007
3520,LAURA INES,155,0,007
3521,LAURINDA,155,0,007
3522,MARILIN,155,0,007
3523,ONEKA,155,0,007
3524,RITA ISABEL,155,0,007
3525,ALENA,154,0,007
3526,BAKARNE,154,0,007
3527,BERNADETTE,154,0,007
3528,DELICIA,154,0,007
3529,FIDENCIA,154,0,007
3530,JOANA AINA,154,0,007
3531,JUANA CRUZ,154,0,007
3532,LAIENE,154,0,007
3533,MANOLA,154,0,007
3534,MARIA ROSANA,154,0,007
3535,MILAGROS CARMEN,154,0,007
3536,SAINZA,154,0,007
3537,SAMAR,154,0,007
3538,SANDRA CARMEN,154,0,007
3539,VERONICA ROCIO,154,0,007
3540,VIDA,154,0,007
3541,ABRAR,153,0,007
3542,AURA MARIA,153,0,007
3543,CINTYA,153,0,007
3544,CLAUDIA CARMEN,153,0,007
3545,CORAL MARIA,153,0,007
3546,EMPERATRIZ,153,0,007
3547,FARNERS,153,0,007
3548,JUANA MARGARITA,153,0,007
3549,LUCIA MAR,153,0,007
3550,LUISA ANTONIA,153,0,007
3551,MARTA INMACULADA,153,0,007
3552,VALERIA CARMEN,153,0,007
3553,WAFAE,153,0,007
3554,YOLANDA PILAR,153,0,007
3555,ZAYNAB,153,0,007
3556,ZORIONE,153,0,007
3557,ZULAY,153,0,007
3558,ANA SONIA,152,0,007
3559,ARACELIS,152,0,007
3560,GRECIA,152,0,007
3561,JUSTINIANA,152,0,007
3562,LEOVIGILDA,152,0,007
3563,MARIA SANTA,152,0,007
3564,MERCEDES ROCIO,152,0,007
3565,NAIHARA,152,0,007
3566,PATRICIA CAROLINA,152,0,007
3567,VERA LUCIA,152,0,007
3568,YAIMA,152,0,007
3569,ALEJANDRA CARMEN,151,0,007
3570,BENICIA,151,0,007
3571,BLANCA LUZ,151,0,007
3572,FRANCISCA MERCEDES,151,0,007
3573,GOIZEDER,151,0,007
3574,JAQUELIN,151,0,007
3575,JESSICA CARMEN,151,0,007
3576,JOSEFA AMPARO,151,0,007
3577,LEIZE,151,0,007
3578,MARIA CARMELA,151,0,007
3579,MARIA DALIA,151,0,007
3580,MARIA PROVIDENCIA,151,0,007
3581,REPOSO,151,0,007
3582,ZULEICA,151,0,007
3583,ANA PAZ,150,0,007
3584,EVA ANGELINA,150,0,007
3585,FRANÇOISE,150,0,007
3586,GAROA,150,0,007
3587,ORLANDA,150,0,007
3588,PRISCA,150,0,007
3589,PURIFICACIO,150,0,007
3590,TERESA NIÑO JESUS,150,0,007
3591,TERESA ROSARIO,150,0,007
3592,ANDREA VALENTINA,149,0,007
3593,ANTONIA MERCEDES,149,0,007
3594,ANTONIA ROSARIO,149,0,007
3595,CRIPTANA,149,0,007
3596,DOLORES ENCARNACION,149,0,007
3597,IBTISAM,149,0,007
3598,JUANA ROCIO,149,0,007
3599,JUDIT MARIA,149,0,007
3600,KARINA ELIZABETH,149,0,007
3601,LAURA MARCELA,149,0,007
3602,LESLIE,149,0,007
3603,MARIA ASTRID,149,0,007
3604,MARIA CORINA,149,0,007
3605,MARIA LEOCADIA,149,0,007
3606,MARINA MARIA,149,0,007
3607,MARTHA MARIA,149,0,007
3608,MIREN ELIXABETE,149,0,007
3609,MIREN ZURIÑE,149,0,007
3610,NAJOUA,149,0,007
3611,SAMAY,149,0,007
3612,TABATA,149,0,007
3613,YADHIRA,149,0,007
3614,ALICIA CRISTINA,148,0,007
3615,CLAUDIA CRISTINA,148,0,007
3616,ELIONOR,148,0,007
3617,IKHLAS,148,0,007
3618,ISABEL CONCEPCION,148,0,007
3619,JULIA MERCEDES,148,0,007
3620,LUCERO,148,0,007
3621,MARIA BASILISA,148,0,007
3622,MARIA SATURNINA,148,0,007
3623,ODALIS,148,0,007
3624,ORNELLA,148,0,007
3625,ROSA LIDIA,148,0,007
3626,AFNAN,147,0,007
3627,ALBA CRISTINA,147,0,007
3628,AURORA ISABEL,147,0,007
3629,BINTA,147,0,007
3630,CLORINDA,147,0,007
3631,CRISTINA MERCEDES,147,0,007
3632,ELENA TERESA,147,0,007
3633,FRANCIA ELENA,147,0,007
3634,FRANCISCA LUISA,147,0,007
3635,GERVASIA,147,0,007
3636,MARIA SALOBRAR,147,0,007
3637,MARIA XIMENA,147,0,007
3638,MIREN ARANTXA,147,0,007
3639,NATALIA PILAR,147,0,007
3640,NURIA MONTSERRAT,147,0,007
3641,ODILA,147,0,007
3642,OHIANA,147,0,007
3643,RAQUEL PILAR,147,0,007
3644,ROSA JOSEFA,147,0,007
3645,VALENTINA MARIA,147,0,007
3646,ADRIANNA,146,0,007
3647,ANA ARACELI,146,0,007
3648,ANA ESTER,146,0,007
3649,BLANCA DELIA,146,0,007
3650,CATALINA CARMEN,146,0,007
3651,CONSUELO PILAR,146,0,007
3652,CRISTINA ANGELES,146,0,007
3653,DIANA PAOLA,146,0,007
3654,FAMARA,146,0,007
3655,GHITA,146,0,007
3656,GISEL,146,0,007
3657,GRACIA PATRICIA,146,0,007
3658,IBANA,146,0,007
3659,JENNY ALEXANDRA,146,0,007
3660,KATRIN,146,0,007
3661,KHAOULA,146,0,007
3662,LILY,146,0,007
3663,MARIA CLAUDINA,146,0,007
3664,MARIA CONCEIÇAO,146,0,007
3665,OCTAVIA,146,0,007
3666,ORETO,146,0,007
3667,PATRICIA BEATRIZ,146,0,007
3668,ROSA AMALIA,146,0,007
3669,XARE,146,0,007
3670,ADELAIDA MARIA,145,0,007
3671,ALDA,145,0,007
3672,ALYSON,145,0,007
3673,ANA ABEL,145,0,007
3674,ARGIA,145,0,007
3675,ASHA,145,0,007
3676,HAYAR,145,0,007
3677,JUANA ANGELES,145,0,007
3678,MARIA ABEL,145,0,007
3679,MARIA ALCOR,145,0,007
3680,MARIA EMILIANA,145,0,007
3681,MARIA FIDELA,145,0,007
3682,MARIA LIBRADA,145,0,007
3683,MARIA PRUDENCIA,145,0,007
3684,MARIA YANIRA,145,0,007
3685,OLGA ESTHER,145,0,007
3686,PUREZA,145,0,007
3687,SANDRA CRISTINA,145,0,007
3688,SUA,145,0,007
3689,WARDA,145,0,007
3690,ACORAIDA,144,0,007
3691,AMPARO ISABEL,144,0,007
3692,ANA MARIA ANGELES,144,0,007
3693,ANNE MARIE,144,0,007
3694,ATIKA,144,0,007
3695,BLANCA PILAR,144,0,007
3696,ESTEFANIA CARMEN,144,0,007
3697,EXALTACION,144,0,007
3698,JULIE,144,0,007
3699,KEYRA,144,0,007
3700,LAURA LUCIA,144,0,007
3701,MARIA ARGELIA,144,0,007
3702,MARINA VICTORIA,144,0,007
3703,MIMUNT,144,0,007
3704,ROSA ALBA,144,0,007
3705,SOLEDAD CARMEN,144,0,007
3706,TESSA,144,0,007
3707,VIRGINIA CARMEN,144,0,007
3708,YAMNA,144,0,007
3709,YARISA,144,0,007
3710,YULISA,144,0,007
3711,ADOSINDA,143,0,007
3712,DAHIANA,143,0,007
3713,DENIS,143,0,007
3714,DOLORES ROSARIO,143,0,007
3715,EMMA ROSA,143,0,007
3716,EYRA,143,0,007
3717,INNA,143,0,007
3718,IVON,143,0,007
3719,JANINE,143,0,007
3720,JOSEFA ASUNCION,143,0,007
3721,KYRA,143,0,007
3722,LAURA CAMILA,143,0,007
3723,MANUELA ANGELES,143,0,007
3724,MARIA EDITH,143,0,007
3725,MARIFE,143,0,007
3726,MIREN MIRARI,143,0,007
3727,MONIQUE,143,0,007
3728,ROSA ENCARNACION,143,0,007
3729,SILA,143,0,007
3730,VARINIA,143,0,007
3731,BIDANE,142,0,007
3732,CASTA,142,0,007
3733,CATIA,142,0,007
3734,CHAYMA,142,0,007
3735,ELENA MERCEDES,142,0,007
3736,ENEA,142,0,007
3737,FOIX,142,0,007
3738,GIULIANA,142,0,007
3739,JOSEFA ANA,142,0,007
3740,LAURA CAROLINA,142,0,007
3741,LICINIA,142,0,007
3742,MARIA CARLA,142,0,007
3743,MARIA HERMITAS,142,0,007
3744,MARIA LUDIVINA,142,0,007
3745,MORAIMA,142,0,007
3746,OLGA CRISTINA,142,0,007
3747,RESTITUTA,142,0,007
3748,SABRINE,142,0,007
3749,ABUNDIA,141,0,007
3750,ADAMA,141,0,007
3751,ALBA PILAR,141,0,007
3752,CRISTINA DOLORES,141,0,007
3753,ENRICA,141,0,007
3754,ESTEFANIA MARIA,141,0,007
3755,IZARNE,141,0,007
3756,JENNY PATRICIA,141,0,007
3757,MAHA,141,0,007
3758,NOA MARIA,141,0,007
3759,ROSA IRENE,141,0,007
3760,SATURIA,141,0,007
3761,VEGA MARIA,141,0,007
3762,YANELA,141,0,007
3763,ADAIA,140,0,007
3764,AMPARO CARMEN,140,0,007
3765,ANA MIRIAM,140,0,007
3766,ANA TRINIDAD,140,0,007
3767,ANGELA LUCIA,140,0,007
3768,ANYA,140,0,007
3769,BANESA,140,0,007
3770,CELSA MARIA,140,0,007
3771,CRISTINA ALEJANDRA,140,0,007
3772,CRISTINA BELEN,140,0,007
3773,DIANA LORENA,140,0,007
3774,ENAR,140,0,007
3775,ESPERANZA CARMEN,140,0,007
3776,EVA ANGELES,140,0,007
3777,FRANCISCA BELEN,140,0,007
3778,JIHANE,140,0,007
3779,MAGDALENA SOFIA,140,0,007
3780,MARIA BLANCA NIEVES,140,0,007
3781,MARIA JENIFER,140,0,007
3782,NARYIS,140,0,007
3783,PATRICIA ROCIO,140,0,007
3784,PAULA ROCIO,140,0,007
3785,ROSA ESPERANZA,140,0,007
3786,SAHARA,140,0,007
3787,SALSABIL,140,0,007
3788,SANTOS,140,0,007
3789,VERONICA PATRICIA,140,0,007
3790,WANDA,140,0,007
3791,YAIZA CARMEN,140,0,007
3792,ANA FATIMA,139,0,006
3793,BETLEM,139,0,006
3794,CAROLINA PILAR,139,0,006
3795,DAMARI,139,0,006
3796,DOLORES ROSA,139,0,006
3797,ESPIRITU SANTO,139,0,006
3798,FRANCISCA ELENA,139,0,006
3799,JEMIMA,139,0,006
3800,LARA ISABEL,139,0,006
3801,LIZBETH,139,0,006
3802,MARIA GRISELDA,139,0,006
